"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2025","0.182463","0.178666","0.183226","0.169988","1.65B","2.12%"
"04/23/2025","0.178675","0.178634","0.185373","0.175270","2.06B","0.04%"
"04/22/2025","0.178610","0.159344","0.179667","0.157473","2.03B","12.09%"
"04/21/2025","0.159343","0.155255","0.163270","0.155056","1.22B","2.63%"
"04/20/2025","0.155255","0.157330","0.159529","0.152522","631.05M","-1.28%"
"04/19/2025","0.157266","0.157574","0.160837","0.156400","452.64M","-0.21%"
"04/18/2025","0.157595","0.155837","0.158875","0.153597","455.52M","1.14%"
"04/17/2025","0.155817","0.154725","0.159400","0.153089","622.97M","0.71%"
"04/16/2025","0.154711","0.153564","0.157234","0.150357","1.01B","0.74%"
"04/15/2025","0.153573","0.158550","0.161244","0.153182","929.00M","-3.14%"
"04/14/2025","0.158558","0.162579","0.169305","0.157451","1.17B","-2.44%"
"04/13/2025","0.162515","0.167630","0.168605","0.161105","1.03B","-3.06%"
"04/12/2025","0.167649","0.160031","0.169470","0.157881","1.01B","4.76%"
"04/11/2025","0.160038","0.153588","0.162383","0.153380","1.04B","4.19%"
"04/10/2025","0.153602","0.160310","0.160310","0.148979","1.65B","-4.19%"
"04/09/2025","0.160324","0.142240","0.164161","0.136621","3.06B","12.74%"
"04/08/2025","0.142204","0.149559","0.156896","0.141286","2.09B","-4.85%"
"04/07/2025","0.149457","0.149238","0.153251","0.130302","4.89B","0.15%"
"04/06/2025","0.149231","0.168974","0.169994","0.146062","1.64B","-11.69%"
"04/05/2025","0.168976","0.171257","0.171649","0.166158","494.66M","-1.31%"
"04/04/2025","0.171214","0.162299","0.172716","0.160120","1.67B","5.55%"
"04/03/2025","0.162210","0.163794","0.167365","0.155469","1.34B","-1.00%"
"04/02/2025","0.163844","0.173983","0.179362","0.162175","2.00B","-5.82%"
"04/01/2025","0.173978","0.166622","0.175692","0.166087","1.07B","4.42%"
"03/31/2025","0.166619","0.166441","0.168318","0.160143","1.35B","0.11%"
"03/30/2025","0.166436","0.169463","0.172359","0.164603","848.28M","-1.78%"
"03/29/2025","0.169460","0.180209","0.182472","0.166018","1.19B","-5.96%"
"03/28/2025","0.180203","0.190458","0.192821","0.177318","1.45B","-5.39%"
"03/27/2025","0.190461","0.194898","0.200378","0.188107","1.29B","-2.28%"
"03/26/2025","0.194898","0.190514","0.205689","0.189428","2.44B","2.20%"
"03/25/2025","0.190700","0.183006","0.193519","0.180996","1.71B","4.21%"
"03/24/2025","0.183003","0.172587","0.189056","0.170705","1.70B","6.04%"
"03/23/2025","0.172581","0.167386","0.172581","0.167063","583.29M","3.11%"
"03/22/2025","0.167380","0.167251","0.169748","0.166646","334.15M","0.08%"
"03/21/2025","0.167253","0.169410","0.171539","0.164772","681.22M","-1.27%"
"03/20/2025","0.169405","0.177985","0.179053","0.166813","913.68M","-4.83%"
"03/19/2025","0.177995","0.167797","0.178613","0.166810","1.27B","5.92%"
"03/18/2025","0.168041","0.173339","0.173339","0.162951","1.10B","-3.06%"
"03/17/2025","0.173341","0.168388","0.176075","0.168388","1.08B","3.06%"
"03/16/2025","0.168198","0.176179","0.176764","0.165774","999.07M","-4.40%"
"03/15/2025","0.175947","0.171855","0.177751","0.171290","692.07M","2.38%"
"03/14/2025","0.171860","0.165028","0.175868","0.164768","946.94M","4.05%"
"03/13/2025","0.165176","0.172411","0.172906","0.161859","1.76B","-4.19%"
"03/12/2025","0.172397","0.164769","0.173650","0.159560","2.00B","4.85%"
"03/11/2025","0.164416","0.153986","0.168481","0.143525","3.58B","6.89%"
"03/10/2025","0.153818","0.167977","0.180291","0.150577","3.04B","-8.44%"
"03/09/2025","0.167993","0.192274","0.194105","0.165593","2.39B","-12.63%"
"03/08/2025","0.192274","0.198155","0.200813","0.191180","758.61M","-2.42%"
"03/07/2025","0.197039","0.201498","0.208260","0.190637","1.88B","-2.22%"
"03/06/2025","0.201512","0.204735","0.219862","0.199072","1.89B","-1.57%"
"03/05/2025","0.204728","0.199043","0.206396","0.196435","1.52B","2.87%"
"03/04/2025","0.199025","0.199108","0.202130","0.183719","2.84B","-0.04%"
"03/03/2025","0.199108","0.239287","0.239287","0.193955","3.13B","-16.79%"
"03/02/2025","0.239280","0.206680","0.242069","0.201750","3.43B","15.76%"
"03/01/2025","0.206701","0.201867","0.208910","0.199399","1.12B","2.39%"
"02/28/2025","0.201875","0.206889","0.207128","0.181705","3.23B","-2.42%"
"02/27/2025","0.206874","0.203535","0.211402","0.201182","1.54B","1.67%"
"02/26/2025","0.203482","0.211536","0.213833","0.196168","2.47B","-3.77%"
"02/25/2025","0.211450","0.210216","0.214457","0.196042","4.07B","0.59%"
"02/24/2025","0.210211","0.242833","0.243930","0.206561","2.54B","-13.43%"
"02/23/2025","0.242827","0.246576","0.247501","0.240455","625.08M","-1.52%"
"02/22/2025","0.246577","0.239586","0.247729","0.238212","823.99M","2.93%"
"02/21/2025","0.239559","0.254737","0.261063","0.234531","1.91B","-5.96%"
"02/20/2025","0.254740","0.254866","0.257420","0.250098","1.06B","-0.05%"
"02/19/2025","0.254876","0.251209","0.255351","0.248996","913.84M","1.42%"
"02/18/2025","0.251300","0.258189","0.259660","0.242390","1.55B","-2.67%"
"02/17/2025","0.258182","0.265716","0.268627","0.254015","1.26B","-2.84%"
"02/16/2025","0.265728","0.271776","0.274075","0.263873","842.34M","-2.23%"
"02/15/2025","0.271794","0.271835","0.282934","0.268399","1.50B","-0.01%"
"02/14/2025","0.271829","0.262421","0.285460","0.260981","2.19B","3.59%"
"02/13/2025","0.262417","0.264247","0.267077","0.253466","1.47B","-0.65%"
"02/12/2025","0.264136","0.253112","0.267113","0.247466","1.94B","4.34%"
"02/11/2025","0.253144","0.255386","0.269754","0.248857","1.67B","-0.87%"
"02/10/2025","0.255369","0.248889","0.256257","0.241767","1.31B","2.60%"
"02/09/2025","0.248892","0.252946","0.259893","0.240069","1.29B","-1.60%"
"02/08/2025","0.252946","0.246621","0.253949","0.244724","1.05B","2.56%"
"02/07/2025","0.246627","0.248048","0.261537","0.239082","2.07B","-0.58%"
"02/06/2025","0.248054","0.256025","0.265834","0.243517","1.84B","-3.11%"
"02/05/2025","0.256019","0.263625","0.269072","0.253752","1.63B","-2.87%"
"02/04/2025","0.263590","0.284918","0.288744","0.256045","4.11B","-7.49%"
"02/03/2025","0.284930","0.267879","0.292848","0.207265","10.04B","6.37%"
"02/02/2025","0.267872","0.308008","0.314694","0.253103","5.07B","-13.03%"
"02/01/2025","0.308015","0.328824","0.332099","0.303822","1.35B","-6.33%"
"01/31/2025","0.328821","0.331504","0.341224","0.323680","1.30B","-0.81%"
"01/30/2025","0.331504","0.323963","0.338698","0.322382","1.03B","2.33%"
"01/29/2025","0.323964","0.318723","0.333837","0.317061","1.46B","1.65%"
"01/28/2025","0.318709","0.333957","0.338927","0.315309","1.45B","-4.56%"
"01/27/2025","0.333943","0.335961","0.336952","0.307073","3.49B","-0.61%"
"01/26/2025","0.335993","0.353498","0.357257","0.335951","897.39M","-4.95%"
"01/25/2025","0.353498","0.350743","0.359857","0.345651","1.06B","0.78%"
"01/24/2025","0.350760","0.352033","0.364553","0.342994","1.45B","-0.36%"
"01/23/2025","0.352027","0.362521","0.364311","0.342190","2.18B","-2.90%"
"01/22/2025","0.362533","0.371904","0.373701","0.355575","2.15B","-2.59%"
"01/21/2025","0.372172","0.354466","0.398576","0.336012","6.36B","5.01%"
"01/20/2025","0.354433","0.358930","0.385857","0.345929","5.91B","-1.24%"
"01/19/2025","0.358882","0.396412","0.409852","0.350807","6.54B","-9.47%"
