"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2025","3.063","3.000","3.124","2.995","21.05M","4.01%"
"04/10/2025","2.945","3.077","3.080","2.931","13.12M","2.12%"
"04/09/2025","2.884","2.940","2.957","2.880","18.72M","-3.67%"
"04/08/2025","2.994","2.921","3.023","2.876","16.70M","3.24%"
"04/07/2025","2.900","3.080","3.090","2.900","29.14M","-8.08%"
"04/04/2025","3.155","3.318","3.328","3.134","17.94M","-4.45%"
"04/03/2025","3.302","3.142","3.319","3.125","30.91M","5.09%"
"04/02/2025","3.142","3.127","3.155","3.119","11.58M","0.10%"
"04/01/2025","3.139","3.130","3.140","3.099","7.80M","0.87%"
"03/31/2025","3.112","3.190","3.205","3.102","15.40M","-2.08%"
"03/28/2025","3.178","3.130","3.189","3.125","15.55M","1.73%"
"03/27/2025","3.124","3.100","3.131","3.092","10.01M","0.74%"
"03/26/2025","3.101","3.090","3.127","3.088","7.61M","0.49%"
"03/25/2025","3.086","3.100","3.137","3.079","8.93M","-0.32%"
"03/24/2025","3.096","3.150","3.192","3.087","16.13M","-0.74%"
"03/21/2025","3.119","3.146","3.176","3.092","55.46M","-0.95%"
"03/20/2025","3.149","3.100","3.160","3.100","13.45M","1.88%"
"03/19/2025","3.091","3.137","3.141","3.078","9.63M","-1.12%"
"03/18/2025","3.126","3.125","3.146","3.104","11.47M","0.19%"
"03/17/2025","3.120","3.060","3.122","3.060","11.74M","2.33%"
"03/14/2025","3.049","3.092","3.108","3.002","13.86M","-1.61%"
"03/13/2025","3.099","3.095","3.130","3.048","10.51M","0.45%"
"03/12/2025","3.085","3.160","3.173","3.055","15.74M","-2.68%"
"03/11/2025","3.170","3.137","3.216","3.137","15.28M","1.34%"
"03/10/2025","3.128","3.110","3.165","3.094","13.39M","0.48%"
"03/07/2025","3.113","3.031","3.123","3.004","21.42M","4.74%"
"03/06/2025","2.972","2.972","2.977","2.911","18.16M","-1.49%"
"03/05/2025","3.017","3.040","3.067","3.004","12.35M","-1.63%"
"03/04/2025","3.067","3.090","3.140","3.058","10.33M","0.23%"
"03/03/2025","3.060","3.092","3.118","3.014","12.63M","-1.61%"
"02/28/2025","3.110","3.063","3.138","3.046","29.95M","1.57%"
"02/27/2025","3.062","3.160","3.174","2.948","27.15M","-4.19%"
"02/26/2025","3.196","3.182","3.213","3.163","11.95M","0.53%"
"02/25/2025","3.179","3.132","3.187","3.124","13.94M","1.40%"
"02/24/2025","3.135","3.050","3.140","3.050","11.65M","3.33%"
"02/21/2025","3.034","3.013","3.042","2.997","7.82M","0.70%"
"02/20/2025","3.013","2.990","3.019","2.977","9.24M","1.28%"
"02/19/2025","2.975","2.904","2.990","2.904","9.80M","2.59%"
"02/18/2025","2.900","2.915","2.934","2.886","7.80M","-0.24%"
"02/17/2025","2.907","2.929","2.937","2.907","5.72M","-1.19%"
"02/14/2025","2.942","2.910","2.951","2.901","9.66M","1.17%"
"02/13/2025","2.908","2.915","2.959","2.894","14.07M","0.41%"
"02/12/2025","2.896","2.934","2.964","2.878","9.18M","-0.92%"
"02/11/2025","2.923","2.946","2.986","2.896","11.74M","-2.11%"
"02/10/2025","2.986","2.950","2.987","2.942","6.63M","1.46%"
"02/07/2025","2.943","2.933","2.990","2.910","9.81M","-0.37%"
"02/06/2025","2.954","3.049","3.058","2.951","13.50M","-3.27%"
"02/05/2025","3.054","3.039","3.057","3.018","7.73M","0.79%"
"02/04/2025","3.030","3.008","3.046","2.994","7.88M","0.10%"
"02/03/2025","3.027","3.000","3.043","2.985","9.35M","-0.30%"
"01/31/2025","3.036","3.034","3.072","3.025","7.76M","0.20%"
"01/30/2025","3.030","3.015","3.052","2.987","7.97M","0.66%"
"01/29/2025","3.010","3.012","3.020","2.950","9.43M","0.37%"
"01/28/2025","2.999","2.934","3.046","2.918","9.77M","2.64%"
"01/27/2025","2.922","2.908","2.994","2.908","9.94M","0.72%"
"01/24/2025","2.901","2.923","2.961","2.886","13.72M","-0.65%"
"01/23/2025","2.920","2.966","2.984","2.916","10.21M","-1.35%"
"01/22/2025","2.960","3.075","3.077","2.945","12.77M","-3.55%"
"01/21/2025","3.069","3.093","3.095","3.024","12.59M","-1.76%"
"01/20/2025","3.124","3.148","3.159","3.085","7.48M","-0.79%"
"01/17/2025","3.149","3.135","3.183","3.128","13.56M","1.22%"
"01/16/2025","3.111","3.130","3.163","3.089","9.38M","-0.64%"
"01/15/2025","3.131","3.104","3.143","3.072","9.05M","1.39%"
"01/14/2025","3.088","3.055","3.088","3.042","9.33M","1.61%"
"01/13/2025","3.039","2.949","3.076","2.931","9.23M","2.19%"
"01/10/2025","2.974","3.089","3.091","2.973","15.95M","-4.77%"
"01/09/2025","3.123","3.060","3.132","3.055","7.73M","1.83%"
"01/08/2025","3.067","3.160","3.160","3.033","15.05M","-3.28%"
"01/07/2025","3.171","3.166","3.196","3.148","9.67M","0.38%"
"01/06/2025","3.159","3.206","3.215","3.133","7.26M","-1.31%"
"01/03/2025","3.201","3.166","3.217","3.143","6.86M","1.07%"
"01/02/2025","3.167","3.111","3.173","3.105","7.80M","2.46%"
