"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2025","30.29","30.57","30.75","30.14","72.89M","0.00%"
"04/15/2025","30.29","31.00","31.14","30.27","58.00M","-2.30%"
"04/14/2025","31.00","31.85","32.13","30.72","55.47M","-0.38%"
"04/11/2025","31.12","30.78","31.56","30.08","65.17M","1.99%"
"04/10/2025","30.52","32.24","32.26","30.49","70.97M","-8.36%"
"04/09/2025","33.30","31.31","33.58","31.04","106.24M","4.06%"
"04/08/2025","32.00","33.70","33.94","31.88","61.78M","-3.56%"
"04/07/2025","33.18","33.92","34.56","33.11","85.49M","-3.97%"
"04/04/2025","34.55","34.74","35.01","33.81","87.15M","-4.03%"
"04/03/2025","36.00","36.15","36.30","35.61","65.53M","-3.23%"
"04/02/2025","37.20","37.27","37.30","36.83","16.55M","-0.27%"
"04/01/2025","37.30","37.30","37.97","37.20","19.01M","0.38%"
"03/31/2025","37.16","37.35","37.64","37.08","25.99M","-0.72%"
"03/28/2025","37.43","37.65","37.88","37.09","22.03M","-0.64%"
"03/27/2025","37.67","37.43","37.97","37.39","28.38M","0.75%"
"03/26/2025","37.39","37.15","37.63","37.15","26.85M","0.94%"
"03/25/2025","37.04","36.85","37.52","36.63","27.98M","0.79%"
"03/24/2025","36.75","36.70","36.94","36.50","20.09M","-0.14%"
"03/21/2025","36.80","36.22","37.03","36.18","60.95M","1.55%"
"03/20/2025","36.24","36.16","36.48","35.76","46.66M","0.22%"
"03/19/2025","36.16","36.27","36.33","36.03","21.10M","-0.08%"
"03/18/2025","36.19","36.19","36.41","35.91","14.95M","0.08%"
"03/17/2025","36.16","35.61","36.41","35.60","31.11M","1.86%"
"03/14/2025","35.50","34.60","35.76","34.37","41.41M","3.08%"
"03/13/2025","34.44","34.18","34.54","34.04","19.17M","1.00%"
"03/12/2025","34.10","34.16","34.40","33.96","20.11M","0.00%"
"03/11/2025","34.10","34.75","34.90","33.91","28.61M","-1.50%"
"03/10/2025","34.62","34.58","34.62","34.00","34.89M","-0.03%"
"03/07/2025","34.63","34.29","34.93","34.23","28.06M","1.08%"
"03/06/2025","34.26","34.81","35.12","34.03","47.75M","-1.04%"
"03/05/2025","34.62","35.02","35.11","34.55","48.55M","-3.65%"
"02/28/2025","35.93","36.49","36.55","35.81","55.38M","-1.86%"
"02/27/2025","36.61","36.36","36.74","35.48","129.69M","-3.53%"
"02/26/2025","37.95","38.25","38.25","37.75","27.42M","0.00%"
"02/25/2025","37.95","38.12","38.44","37.83","31.96M","-0.45%"
"02/24/2025","38.12","38.50","38.51","37.80","27.83M","-0.70%"
"02/21/2025","38.39","38.53","38.53","38.17","30.06M","-0.29%"
"02/20/2025","38.50","38.42","38.57","38.31","26.64M","0.16%"
"02/19/2025","38.44","38.11","38.66","37.87","32.65M","0.21%"
"02/18/2025","38.36","37.72","38.44","37.71","44.06M","1.83%"
"02/17/2025","37.67","37.64","37.92","37.47","22.62M","0.61%"
"02/14/2025","37.44","36.44","37.58","36.40","40.20M","3.08%"
"02/13/2025","36.32","36.20","36.33","36.02","15.35M","0.11%"
"02/12/2025","36.28","36.65","36.75","36.11","37.36M","-1.49%"
"02/11/2025","36.83","37.01","37.09","36.68","16.62M","0.00%"
"02/10/2025","36.83","36.81","37.03","36.72","17.48M","0.68%"
"02/07/2025","36.58","36.86","37.03","36.37","21.43M","-0.57%"
"02/06/2025","36.79","36.84","37.12","36.70","17.51M","-0.19%"
"02/05/2025","36.86","37.05","37.07","36.75","20.54M","-0.73%"
"02/04/2025","37.13","37.30","37.35","36.82","34.29M","-0.99%"
"02/03/2025","37.50","37.76","37.81","37.38","24.88M","-0.50%"
"01/31/2025","37.69","37.39","38.37","37.25","37.02M","0.80%"
"01/30/2025","37.39","37.04","37.51","36.80","30.92M","1.33%"
"01/29/2025","36.90","37.20","37.33","36.76","18.20M","-0.62%"
"01/28/2025","37.13","37.40","37.49","36.88","27.62M","-0.13%"
"01/27/2025","37.18","36.57","37.30","36.47","29.81M","1.47%"
"01/24/2025","36.64","36.88","36.90","36.40","16.20M","-0.52%"
"01/23/2025","36.83","37.12","37.41","36.70","26.73M","-0.70%"
"01/22/2025","37.09","37.36","37.63","37.03","21.83M","-0.56%"
"01/21/2025","37.30","37.10","37.35","36.72","23.61M","0.03%"
"01/20/2025","37.29","37.22","37.43","37.11","13.91M","0.24%"
"01/17/2025","37.20","37.01","37.40","36.85","39.78M","0.40%"
"01/16/2025","37.05","37.21","37.24","36.77","26.73M","-0.64%"
"01/15/2025","37.29","36.93","37.32","36.80","32.51M","1.28%"
"01/14/2025","36.82","37.11","37.13","36.58","29.17M","-0.67%"
"01/13/2025","37.07","37.30","37.53","36.97","22.90M","0.35%"
"01/10/2025","36.94","37.25","37.52","36.90","40.31M","0.27%"
"01/09/2025","36.84","36.70","36.97","36.70","11.53M","0.44%"
"01/08/2025","36.68","36.99","37.12","36.43","24.48M","-0.81%"
"01/07/2025","36.98","36.55","37.25","36.30","37.75M","2.13%"
"01/06/2025","36.21","36.60","36.69","36.06","23.76M","-0.47%"
"01/03/2025","36.38","36.88","37.04","36.32","23.27M","-1.06%"
"01/02/2025","36.77","36.42","37.09","36.19","30.05M","1.60%"
