"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2025","6,550.000","6,480.000","6,600.000","6,480.000","55.44K","0.15%"
"03/25/2025","6,540.000","6,480.000","6,560.000","6,480.000","79.76K","0.77%"
"03/21/2025","6,490.000","6,500.000","6,540.000","6,410.000","80.76K","-0.61%"
"03/20/2025","6,530.000","6,430.000","6,560.000","6,430.000","86.29K","-0.76%"
"03/19/2025","6,580.000","6,580.000","6,660.000","6,450.000","284.50K","-0.15%"
"03/18/2025","6,590.000","6,360.000","6,620.000","6,290.000","312.55K","4.44%"
"03/17/2025","6,310.000","6,110.000","6,350.000","6,110.000","447.34K","3.61%"
"03/14/2025","6,090.000","5,960.000","6,110.000","5,960.000","176.17K","5.00%"
"03/13/2025","5,800.000","5,740.000","5,870.000","5,700.000","93.99K","1.75%"
"03/12/2025","5,700.000","5,720.000","5,720.000","5,610.000","98.52K","-1.21%"
"03/11/2025","5,770.000","5,650.000","5,790.000","5,610.000","56.69K","1.76%"
"03/10/2025","5,670.000","6,030.000","6,030.000","5,540.000","130.26K","-3.41%"
"03/07/2025","5,869.909","5,889.249","5,889.249","5,753.864","65.60K","0.50%"
"03/06/2025","5,840.897","5,802.216","5,889.249","5,773.205","158.46K","1.17%"
"03/05/2025","5,773.205","5,560.457","5,792.545","5,550.787","99.19K","0.58%"
"02/28/2025","5,740.000","5,890.000","5,890.000","5,700.000","101.92K","-2.38%"
"02/27/2025","5,880.000","5,940.000","5,960.000","5,860.000","104.26K","-1.18%"
"02/26/2025","5,950.000","6,020.000","6,060.000","5,940.000","176.31K","-1.00%"
"02/25/2025","6,010.000","6,050.000","6,050.000","5,990.000","150.09K","-1.31%"
"02/24/2025","6,090.000","6,250.000","6,250.000","6,060.000","195.52K","-0.98%"
"02/21/2025","6,150.000","6,190.000","6,190.000","6,120.000","287.05K","0.00%"
"02/20/2025","6,150.000","6,010.000","6,230.000","6,010.000","500.09K","4.24%"
"02/19/2025","5,900.000","5,970.000","5,980.000","5,850.000","610.51K","-1.34%"
"02/18/2025","5,980.000","5,980.000","6,010.000","5,900.000","488.39K","-0.33%"
"02/17/2025","6,000.000","5,940.000","6,040.000","5,900.000","117.33K","2.56%"
"02/14/2025","5,850.000","5,700.000","5,850.000","5,700.000","150.13K","2.27%"
"02/13/2025","5,720.000","5,680.000","5,740.000","5,570.000","189.38K","0.18%"
"02/12/2025","5,710.000","5,720.000","5,760.000","5,650.000","165.40K","0.00%"
"02/11/2025","5,710.000","5,700.000","5,740.000","5,590.000","82.29K","0.00%"
"02/10/2025","5,710.000","5,790.000","5,810.000","5,690.000","113.71K","0.18%"
"02/07/2025","5,700.000","5,850.000","5,870.000","5,680.000","177.54K","-1.38%"
"02/06/2025","5,780.000","5,710.000","5,820.000","5,700.000","206.62K","1.94%"
"02/05/2025","5,670.000","5,650.000","5,690.000","5,600.000","180.66K","0.71%"
"02/04/2025","5,630.000","5,550.000","5,650.000","5,520.000","99.67K","1.44%"
"02/03/2025","5,550.000","5,510.000","5,560.000","5,400.000","188.36K","0.73%"
"01/31/2025","5,510.000","5,620.000","5,650.000","5,480.000","279.96K","-1.96%"
"01/30/2025","5,620.000","5,400.000","5,630.000","5,350.000","499.05K","4.66%"
"01/29/2025","5,370.000","5,310.000","5,410.000","5,270.000","126.58K","1.13%"
"01/28/2025","5,310.000","5,390.000","5,390.000","5,290.000","160.75K","-1.30%"
"01/27/2025","5,380.000","5,280.000","5,390.000","5,220.000","404.48K","2.09%"
"01/24/2025","5,270.000","5,350.000","5,390.000","5,120.000","231.16K","0.57%"
"01/23/2025","5,240.000","5,330.000","5,330.000","5,220.000","223.38K","-1.69%"
"01/22/2025","5,330.000","5,430.000","5,430.000","5,320.000","216.37K","-0.37%"
"01/21/2025","5,350.000","5,400.000","5,400.000","5,280.000","448.45K","-1.29%"
"01/20/2025","5,420.000","5,390.000","5,470.000","5,380.000","62.69K","1.12%"
"01/17/2025","5,360.000","5,220.000","5,410.000","5,200.000","348.15K","3.08%"
"01/16/2025","5,200.000","5,180.000","5,270.000","5,080.000","491.47K","0.00%"
"01/15/2025","5,200.000","5,200.000","5,220.000","5,110.000","181.44K","0.97%"
"01/14/2025","5,150.000","5,100.000","5,200.000","5,100.000","112.26K","0.98%"
"01/13/2025","5,100.000","5,030.000","5,170.000","4,980.000","165.15K","-0.39%"
"01/10/2025","5,120.000","5,080.000","5,170.000","5,040.000","339.91K","0.00%"
"01/09/2025","5,120.000","5,070.000","5,220.000","5,060.000","105.04K","1.19%"
"01/08/2025","5,060.000","5,100.000","5,100.000","5,010.000","137.35K","-0.78%"
"01/07/2025","5,100.000","5,190.000","5,210.000","5,070.000","352.29K","-0.58%"
"01/06/2025","5,130.000","5,200.000","5,430.000","5,100.000","151.92K","0.20%"
"01/03/2025","5,120.000","5,230.000","5,230.000","5,080.000","200.42K","-2.29%"
"01/02/2025","5,240.000","5,420.000","5,420.000","5,200.000","253.72K","-0.76%"
