"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","8,634.80","8,582.81","8,671.91","8,581.91","682.39M","0.61%"
"03/31/2025","8,582.81","8,658.85","8,658.88","8,530.98","923.24M","-0.88%"
"03/28/2025","8,658.85","8,666.12","8,694.19","8,636.92","746.96M","-0.08%"
"03/27/2025","8,666.12","8,689.59","8,689.70","8,611.42","702.85M","-0.27%"
"03/26/2025","8,689.59","8,663.80","8,714.81","8,656.39","703.01M","0.30%"
"03/25/2025","8,663.80","8,638.01","8,717.03","8,638.01","1.02B","0.30%"
"03/24/2025","8,638.01","8,646.79","8,695.60","8,616.42","616.03M","-0.10%"
"03/21/2025","8,646.79","8,701.99","8,701.99","8,615.96","1.91B","-0.63%"
"03/20/2025","8,701.99","8,706.66","8,742.75","8,665.26","886.65M","-0.05%"
"03/19/2025","8,706.66","8,705.23","8,718.74","8,662.56","823.55M","0.02%"
"03/18/2025","8,705.23","8,680.29","8,726.95","8,680.29","1.11B","0.29%"
"03/17/2025","8,680.29","8,632.33","8,688.41","8,625.04","842.70M","0.56%"
"03/14/2025","8,632.33","8,542.56","8,642.79","8,538.07","750.19M","1.05%"
"03/13/2025","8,542.56","8,540.97","8,581.57","8,513.65","767.96M","0.02%"
"03/12/2025","8,540.97","8,495.99","8,565.45","8,495.99","974.80M","0.53%"
"03/11/2025","8,495.99","8,600.22","8,603.93","8,481.11","1.04B","-1.21%"
"03/10/2025","8,600.22","8,679.88","8,700.79","8,591.58","1.52B","-0.92%"
"03/07/2025","8,679.88","8,682.84","8,701.31","8,627.30","900.63M","-0.03%"
"03/06/2025","8,682.84","8,755.84","8,778.19","8,645.84","1.03B","-0.83%"
"03/05/2025","8,755.84","8,759.00","8,835.72","8,752.46","1.24B","-0.04%"
"03/04/2025","8,759.00","8,871.31","8,873.67","8,746.01","1.07B","-1.27%"
"03/03/2025","8,871.31","8,809.74","8,908.82","8,809.74","1.23B","0.70%"
"02/28/2025","8,809.74","8,756.21","8,810.50","8,715.43","2.22B","0.61%"
"02/27/2025","8,756.21","8,731.46","8,768.05","8,680.55","1.17B","0.28%"
"02/26/2025","8,731.46","8,668.67","8,738.28","8,668.67","981.87M","0.72%"
"02/25/2025","8,668.67","8,658.98","8,712.17","8,628.11","878.15M","0.11%"
"02/24/2025","8,658.98","8,659.37","8,688.26","8,614.08","792.02M","0.00%"
"02/21/2025","8,659.37","8,662.97","8,684.78","8,638.63","986.56M","-0.04%"
"02/20/2025","8,662.97","8,712.53","8,712.66","8,650.80","1.28B","-0.57%"
"02/19/2025","8,712.53","8,766.73","8,771.22","8,696.94","763.33M","-0.62%"
"02/18/2025","8,766.73","8,768.01","8,787.66","8,757.82","659.92M","-0.01%"
"02/17/2025","8,768.01","8,732.46","8,769.07","8,725.27","628.96M","0.41%"
"02/14/2025","8,732.46","8,764.72","8,767.73","8,717.54","893.55M","-0.37%"
"02/13/2025","8,764.72","8,807.44","8,820.93","8,729.57","846.52M","-0.49%"
"02/12/2025","8,807.44","8,777.39","8,810.62","8,759.38","841.92M","0.34%"
"02/11/2025","8,777.39","8,767.80","8,789.58","8,750.53","875.63M","0.11%"
"02/10/2025","8,767.80","8,700.53","8,785.85","8,694.55","832.11M","0.77%"
"02/07/2025","8,700.53","8,727.28","8,728.94","8,685.78","992.47M","-0.31%"
"02/06/2025","8,727.28","8,623.29","8,767.50","8,623.29","871.96M","1.21%"
"02/05/2025","8,623.29","8,570.77","8,623.29","8,550.24","787.61M","0.61%"
"02/04/2025","8,570.77","8,583.56","8,583.59","8,524.66","1.13B","-0.15%"
"02/03/2025","8,583.56","8,673.96","8,673.96","8,520.20","774.95M","-1.04%"
"01/31/2025","8,673.96","8,646.88","8,692.84","8,646.88","1.13B","0.31%"
"01/30/2025","8,646.88","8,557.81","8,655.19","8,547.86","641.23M","1.04%"
"01/29/2025","8,557.81","8,533.87","8,584.07","8,518.27","769.55M","0.28%"
"01/28/2025","8,533.87","8,503.71","8,572.96","8,503.62","703.54M","0.35%"
"01/27/2025","8,503.71","8,502.35","8,514.17","8,462.18","684.09M","0.02%"
"01/24/2025","8,502.35","8,565.20","8,586.68","8,492.73","699.39M","-0.73%"
"01/23/2025","8,565.20","8,545.13","8,572.51","8,532.07","1.03B","0.23%"
"01/22/2025","8,545.13","8,548.29","8,584.73","8,527.79","992.84M","-0.04%"
"01/21/2025","8,548.29","8,520.54","8,550.41","8,513.42","761.21M","0.33%"
"01/20/2025","8,520.54","8,505.22","8,548.59","8,501.82","718.32M","0.18%"
"01/17/2025","8,505.22","8,391.90","8,533.43","8,391.83","1.07B","1.35%"
"01/16/2025","8,391.90","8,301.13","8,391.90","8,301.13","748.67M","1.09%"
"01/15/2025","8,301.13","8,201.54","8,307.56","8,199.57","1.02B","1.21%"
"01/14/2025","8,201.54","8,224.19","8,244.31","8,193.54","946.04M","-0.28%"
"01/13/2025","8,224.19","8,248.49","8,254.00","8,192.31","895.89M","-0.29%"
"01/10/2025","8,248.49","8,319.69","8,326.32","8,247.61","912.29M","-0.86%"
"01/09/2025","8,319.69","8,251.03","8,322.59","8,243.15","822.70M","0.83%"
"01/08/2025","8,251.03","8,245.28","8,267.38","8,189.50","899.62M","0.07%"
"01/07/2025","8,245.28","8,249.66","8,251.79","8,190.50","741.25M","-0.05%"
"01/06/2025","8,249.66","8,223.98","8,249.66","8,197.50","765.87M","0.31%"
"01/03/2025","8,223.98","8,260.09","8,268.97","8,219.73","697.09M","-0.44%"
"01/02/2025","8,260.09","8,173.02","8,270.60","8,160.60","422.20M","1.07%"
