"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2025","38.07","37.39","38.12","37.28","148.33K","1.33%"
"04/10/2025","37.57","37.24","37.76","36.54","213.80K","-0.98%"
"04/09/2025","37.94","35.20","38.21","34.96","320.18K","8.90%"
"04/08/2025","34.84","36.13","36.57","34.44","245.18K","-1.05%"
"04/07/2025","35.21","34.93","36.78","34.44","591.08K","-2.36%"
"04/04/2025","36.06","37.01","37.38","36.00","505.04K","-6.63%"
"04/03/2025","38.62","39.26","39.44","38.54","309.02K","-1.93%"
"04/02/2025","39.38","38.92","39.51","38.91","118.16K","-0.08%"
"04/01/2025","39.41","39.41","39.58","39.07","275.40K","0.79%"
"03/31/2025","39.10","38.74","39.18","38.53","256.98K","-0.81%"
"03/28/2025","39.42","39.53","39.63","39.22","139.83K","-0.58%"
"03/27/2025","39.65","39.39","39.77","39.35","212.16K","0.05%"
"03/26/2025","39.63","40.07","40.26","39.48","304.50K","-2.12%"
"03/25/2025","40.49","40.51","40.60","40.33","355.46K","0.97%"
"03/24/2025","40.10","40.17","40.31","39.88","258.67K","-0.17%"
"03/21/2025","40.17","39.96","40.20","39.87","268.68K","-0.69%"
"03/20/2025","40.45","40.22","40.55","40.01","243.66K","-1.92%"
"03/19/2025","41.24","40.99","41.42","40.88","488.81K","-0.60%"
"03/18/2025","41.49","41.41","41.55","41.17","707.49K","0.73%"
"03/17/2025","41.19","40.69","41.24","40.69","486.28K","1.10%"
"03/14/2025","40.74","40.47","40.77","40.34","391.14K","2.85%"
"03/13/2025","39.61","39.74","39.83","39.45","174.13K","-1.12%"
"03/12/2025","40.06","40.25","40.25","39.80","330.91K","0.78%"
"03/11/2025","39.75","40.07","40.39","39.32","201.82K","0.13%"
"03/10/2025","39.70","40.10","40.15","39.33","382.81K","-2.91%"
"03/07/2025","40.89","40.43","40.92","40.32","373.37K","0.62%"
"03/06/2025","40.64","40.78","41.32","40.57","783.30K","-0.20%"
"03/05/2025","40.72","40.10","40.77","40.06","573.56K","4.20%"
"03/04/2025","39.08","38.70","39.40","38.07","117.15K","-0.23%"
"03/03/2025","39.17","39.52","39.66","38.95","134.09K","3.13%"
"02/28/2025","37.98","37.95","38.08","37.47","60.42K","0.53%"
"02/27/2025","37.78","38.41","38.41","37.74","61.48K","-1.77%"
"02/26/2025","38.46","38.64","38.93","38.40","56.47K","-0.03%"
"02/25/2025","38.47","38.41","38.55","38.09","110.59K","1.56%"
"02/24/2025","37.88","38.17","38.18","37.79","84.55K","0.64%"
"02/21/2025","37.64","38.04","38.04","37.61","31.00K","-1.08%"
"02/20/2025","38.05","38.18","38.27","37.85","48.71K","0.23%"
"02/19/2025","37.96","38.22","38.22","37.82","67.71K","-2.15%"
"02/18/2025","38.80","38.78","38.92","38.67","98.11K","1.17%"
"02/14/2025","38.35","38.45","38.59","38.28","48.62K","0.35%"
"02/13/2025","38.22","38.01","38.37","37.81","89.64K","1.58%"
"02/12/2025","37.62","37.11","37.71","37.10","138.91K","1.27%"
"02/11/2025","37.15","36.91","37.23","36.86","13.87K","1.03%"
"02/10/2025","36.77","36.65","36.82","36.60","26.26K","0.85%"
"02/07/2025","36.46","36.93","36.93","36.38","11.01K","-1.27%"
"02/06/2025","36.93","36.73","36.97","36.64","89.50K","1.15%"
"02/05/2025","36.51","36.30","36.51","36.30","4.96K","1.22%"
"02/04/2025","36.07","36.01","36.18","35.96","83.53K","1.00%"
"02/03/2025","35.71","35.48","35.89","35.36","15.85K","-1.62%"
"01/31/2025","36.30","36.64","36.72","36.25","19.40K","-0.77%"
"01/30/2025","36.58","36.72","36.84","36.58","31.40K","0.30%"
"01/29/2025","36.47","36.51","36.66","36.40","16.49K","0.44%"
"01/28/2025","36.31","36.38","36.47","36.21","10.03K","-0.27%"
"01/27/2025","36.41","36.41","36.41","36.23","46.58K","0.00%"
"01/24/2025","36.41","36.44","36.57","36.40","9.98K","0.05%"
"01/23/2025","36.39","36.06","36.41","36.00","9.26K","1.28%"
"01/22/2025","35.93","36.07","36.07","35.85","23.78K","0.31%"
"01/21/2025","35.82","35.55","35.82","35.40","26.89K","2.96%"
"01/17/2025","34.79","34.74","35.02","34.74","28.27K","0.55%"
"01/16/2025","34.60","34.47","34.63","34.37","11.80K","0.20%"
"01/15/2025","34.53","34.53","34.53","34.40","5.60K","1.65%"
"01/14/2025","33.97","33.82","34.03","33.70","82.22K","1.49%"
"01/13/2025","33.47","33.01","33.47","33.01","5.39K","-0.30%"
"01/10/2025","33.57","33.85","33.86","33.48","40.79K","-1.41%"
"01/08/2025","34.05","33.81","34.05","33.81","7.23K","-0.03%"
"01/07/2025","34.06","34.26","34.26","33.97","10.08K","0.44%"
"01/06/2025","33.91","33.67","34.10","33.67","44.00K","2.08%"
"01/03/2025","33.22","33.25","33.25","33.10","4.52K","0.27%"
"01/02/2025","33.13","33.29","33.29","33.02","18.44K","-0.57%"
